number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-15 22:00:10
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-15 22:03:58
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-15 22:03:58
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-16 00:03:58+02:00
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-16 00:03:58+02:00
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-16 00:13:52+02:00
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,8,12,OPEN,2024-04-16 00:13:52+02:00
26,maribor,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,"{'lat': 46.543986, 'lng': 15.629317}",False,False,20,9,11,OPEN,2024-04-16 11:51:23+02:00
